预计离泊时间,航线,船名,航次,收货地,装货港,卸货港,交货地,订舱人代码,订舱人全称,一级代理,SCNO,STUFFLOC,箱属,箱态,20',40',20'H,40'H,45',TEU,20RF,40RF,40RH,20OT,40OT,20FR,40FR,20GP,40GP,40HC,20TK,40TK,20HS,40HS,20HT,40HT,20HC,20RH,40HR,20PL,40PL,45GP,45HC
2017/1/1 10:00:00,CPS,SNLTAEE,1626S,CNNGB,CNNGB,PHMNL,PHMNL,JET55004092,浙江简达,JET55004092,R15PHNGB03541,,SNL,F,3,3,0,8,0,25,,,,,,,,3,3,8,,,,,,,,,,,,,
2017/1/1 10:00:00,CPS,SNLTAEE,1626S,CNNGB,CNNGB,PHMNS,PHMNS,JET55004092,浙江简达,JET55004092,R15PHNGB03541,,SNL,F,6,0,0,12,0,30,,,,,,,,6,,12,,,,,,,,,,,,,
2017/1/1 10:00:00,CPS,SNLTAEE,1626S,CNNGB,CNNGB,PHMNL,PHMNL,NBWLB1,宁波集运物流部,NBWLB1,,,SNL,F,0,0,0,1,0,2,,,,,,,,,,1,,,,,,,,,,,,,
2017/1/1 10:00:00,CPS,SNLTAEE,1626S,CNNGB,CNNGB,PHMNS,PHMNS,QYGYL123,七运供应链,NBWLB1,R16PHNGB13751,,SNL,F,2,0,0,17,0,36,,,,,,,,2,,17,,,,,,,,,,,,,
2017/1/1 10:00:00,CPS,SNLTAEE,1626S,CNNGB,CNNGB,PHMNL,PHMNL,QYGYL123,七运供应链,NBWLB1,R16PHNGB13751,,SNL,F,1,0,0,31,0,63,,,,,,,,1,,31,,,,,,,,,,,,,
2017/1/1 10:00:00,CPS,SNLTAEE,1626S,CNNGB,CNNGB,PHMNL,PHMNL,QYGYL123,七运供应链,NBWLB1,R16PHNGB13943,,SNL,F,0,0,0,10,0,20,,,10,,,,,,,,,,,,,,,,,,,,
2017/1/1 10:00:00,CPS,SNLTAEE,1626S,CNNGB,CNNGB,PHMNL,PHMNL,WYFH123,宁波外运泛海,WYFH123,R15PHNGB03561,,SNL,F,1,0,0,20,0,41,,,,,,,,1,,20,,,,,,,,,,,,,
2017/1/1 10:00:00,CPS,SNLTAEE,1626S,CNNGB,CNNGB,PHMNS,PHMNS,WYFH123,宁波外运泛海,WYFH123,R15PHNGB03561,,SNL,F,7,1,0,12,0,33,,,,,,,,7,1,12,,,,,,,,,,,,,
2017/1/1 10:00:00,CPS,SNLTAEE,1626S,CNNGB,CNNGB,PHMNL,PHMNL,YAXYNB,宁波亚细亚,NBWLB1,R15PHNGB03559,,SNL,F,0,0,0,1,0,2,,,,,,,,,,1,,,,,,,,,,,,,
2017/1/1 10:00:00,CPS,SNLTAEE,1626S,CNNGB,CNNGB,PHMNS,PHMNS,YAXYNB,宁波亚细亚,NBWLB1,,,SNL,F,0,1,0,25,0,52,,,,,,,,,1,25,,,,,,,,,,,,,
